DATE,DEXUSEU
2015-01-31,1.1614900000000001
2015-02-28,1.1350263157894738
2015-03-31,1.0819454545454545
2015-04-30,1.0822045454545455
2015-05-31,1.116735
2015-06-30,1.122559090909091
2015-07-31,1.099740909090909
2015-08-31,1.1136142857142857
2015-09-30,1.1228523809523812
2015-10-31,1.1227952380952382
2015-11-30,1.0726578947368421
2015-12-31,1.0888681818181818
2016-01-31,1.0855052631578948
2016-02-29,1.10923
2016-03-31,1.1133521739130434
2016-04-30,1.1345666666666667
2016-05-31,1.1312047619047618
2016-06-30,1.1231772727272729
2016-07-31,1.105495
2016-08-31,1.1206521739130435
2016-09-30,1.1217809523809525
2016-10-31,1.10144
2016-11-30,1.07918
2016-12-31,1.0544619047619048
2017-01-31,1.0634947368421053
2017-02-28,1.0650210526315789
2017-03-31,1.069104347826087
2017-04-30,1.07138
2017-05-31,1.1049863636363637
2017-06-30,1.1233
2017-07-31,1.153015
2017-08-31,1.1812913043478261
2017-09-30,1.191335
2017-10-31,1.175547619047619
2017-11-30,1.174295
2017-12-31,1.183615
2018-01-31,1.219652380952381
2018-02-28,1.2339684210526316
2018-03-31,1.2333954545454546
2018-04-30,1.2269523809523808
2018-05-31,1.1822636363636365
2018-06-30,1.1679142857142857
2018-07-31,1.1684619047619047
2018-08-31,1.1546608695652174
2018-09-30,1.1666947368421052
2018-10-31,1.148759090909091
2018-11-30,1.13639
2018-12-31,1.1380388888888888
2019-01-31,1.1417899999999999
2019-02-28,1.1349444444444443
2019-03-31,1.1296142857142857
2019-04-30,1.1234
2019-05-31,1.1186909090909092
2019-06-30,1.129515
2019-07-31,1.1211454545454544
2019-08-31,1.1128681818181818
2019-09-30,1.10112
2019-10-31,1.1058181818181818
2019-11-30,1.1050578947368421
2019-12-31,1.1113666666666666
2020-01-31,1.1097666666666666
2020-02-29,1.0910736842105262
2020-03-31,1.104590909090909
2020-04-30,1.0871090909090908
2020-05-31,1.09073
2020-06-30,1.1259
2020-07-31,1.1488272727272728
2020-08-31,1.1831142857142856
2020-09-30,1.1785095238095238
2020-10-31,1.1767809523809523
2020-11-30,1.1826277777777778
2020-12-31,1.2168
2021-01-31,1.2177666666666667
2021-02-28,1.2093947368421052
2021-03-31,1.1901608695652173
2021-04-30,1.1965409090909092
2021-05-31,1.21463
2021-06-30,1.2048272727272726
2021-07-31,1.1821380952380953
2021-08-31,1.1766954545454544
2021-09-30,1.1764904761904762
2021-10-31,1.159985
2021-11-30,1.14159
2021-12-31,1.1300809523809523
2022-01-31,1.131675
2022-02-28,1.1349052631578949
2022-03-31,1.1018521739130436
2022-04-30,1.080295238095238
2022-05-31,1.0567190476190476
2022-06-30,1.0567190476190476
2022-07-31,1.016825
2022-08-31,1.0128782608695652
2022-09-30,0.9898809523809524
2022-10-31,0.985295
2022-11-30,1.01919
2022-12-31,1.0590666666666668
2023-01-31,1.07769
2023-02-28,1.0702263157894736
2023-03-31,1.0711347826086957
2023-04-30,1.0962
2023-05-31,1.0867090909090908
2023-06-30,1.0840285714285716
2023-07-31,1.10669
2023-08-31,1.091
2023-09-30,1.067175
2023-10-31,1.056457142857143
2023-11-30,1.08193
2023-12-31,1.09094
2024-01-31,1.0898904761904762
2024-02-29,1.0793
2024-03-31,1.0870190476190476
2024-04-30,1.0723909090909092
2024-05-31,1.0810136363636362
2024-06-30,1.0763263157894736
2024-07-31,1.084659090909091
2024-08-31,1.1020181818181818
2024-09-30,1.110425
2024-10-31,1.08945
2024-11-30,1.0621315789473684
2024-12-31,1.0472333333333335
2025-01-31,1.0355904761904762
2025-02-28,1.0413000000000001
2025-03-31,1.0813142857142857
2025-04-30,1.1231772727272729
2025-05-31,1.1273666666666666
2025-06-30,1.153365
2025-07-31,1.1670818181818183
2025-08-31,1.1647476190476191
2025-09-30,1.1738714285714285
2025-10-31,1.1640727272727274
2025-11-30,1.1558111111111111
2025-12-31,1.1710363636363637
2026-01-31,1.1686833333333333
