,,AT,DE,ES,FR,IT,NL,PL,PT
HICP_Total_YoY,count,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0
HICP_Total_YoY,mean,2.3231982448687947,1.9480117620399624,2.348375723917498,1.773921935760012,2.094040715013967,2.396568930663647,4.31770915830496,2.1924555391542624
HICP_Total_YoY,std,1.9313878267696403,1.8392752286670366,1.915887048989473,1.4193499223643975,1.9571513672011378,2.2846318146471285,4.232436717195509,1.952840338808114
HICP_Total_YoY,min,-0.4287003610108253,-0.6641366223908984,-1.4574329078299253,-0.7962982890347692,-0.9643201542912205,-1.038802322028709,-1.288404360753237,-1.7872431506849362
HICP_Total_YoY,25%,1.3162055734180556,1.0342714812792198,1.359968735917888,0.8623891375620862,0.9997882820744375,1.3565232821453277,1.38545376276758,0.7986522295601595
HICP_Total_YoY,50%,1.876605195399994,1.650698626788638,2.4213823473742124,1.6009812960406933,1.8936725513495123,1.882173799761977,3.4406108646517275,2.1511676090242737
HICP_Total_YoY,75%,2.589011322100382,2.217894155319339,3.2944380770092985,2.2456617385381348,2.524541530464741,2.874878166329026,4.750946205219064,2.9855047610322205
HICP_Total_YoY,max,11.568506977968918,11.562782294489615,10.698813335844793,7.294777807946429,12.581547064305676,17.060795506025173,17.674418604651176,10.568644147979933
HICP_Core_YoY,count,301.0,348.0,289.0,348.0,301.0,301.0,348.0,301.0
HICP_Core_YoY,mean,2.2958013079419666,1.507644741332966,1.8184632290287417,1.3395503142919254,1.715036877884033,2.0400764033967165,3.8682047541882425,1.8313925063748009
HICP_Core_YoY,std,1.4062582350527504,1.1302258160341598,1.2625092472192898,0.8608453655734882,1.0519768112857435,1.5461826457322168,4.258804255674509,1.654529484544263
HICP_Core_YoY,min,0.6949436855979041,-0.23866348448687846,-0.7428632070465957,0.024533856722297465,-0.8687258687258614,-0.18780270831273427,-0.19723865877712132,-1.7394592550576737
HICP_Core_YoY,25%,1.5274747073993344,0.8479792958240584,0.8113381945157538,0.7249100361990168,0.8858267716535417,0.9991097042239439,0.7981755986317118,0.5596825073776346
HICP_Core_YoY,50%,1.832844574780057,1.230390765446121,1.839550332141049,1.2007764025025014,1.7261219792865434,1.5907530327305963,2.235886668416376,1.6488644612672188
HICP_Core_YoY,75%,2.465627864344655,1.6587677725118377,2.6696578799775716,1.7238426120799455,2.212389380530966,2.67839876232836,5.081509725906269,2.5868768735428205
HICP_Core_YoY,max,8.318264014466559,6.305506216696277,5.151313917085676,4.695053923391601,5.528612997090199,8.202257175864226,16.77559912854032,6.544653123802213
IP_Total_YoY,count,348.0,408.0,396.0,420.0,420.0,300.0,300.0,300.0
IP_Total_YoY,mean,1.4332992112573821,-0.4526612267704019,-0.5990468629788024,-0.8011237905669116,-1.0047959612110395,-0.9468136885619635,2.544807301882389,-2.009800461100087
IP_Total_YoY,std,9.760463542286617,8.500591895531308,8.802965518361537,7.70588546619427,10.713500189344606,7.474377687811751,11.622917111057633,9.084574296694825
IP_Total_YoY,min,-38.45041322314048,-39.845261121856865,-46.40831758034027,-46.939736346516,-54.23057892132608,-28.947368421052634,-41.74418604651162,-43.29324699352451
IP_Total_YoY,25%,-0.8336336474072642,-2.5244489058029256,-2.4322036896685884,-2.0489830903563626,-3.2199590615462848,-3.8815418756332654,-0.40907056413434506,-5.334111678455803
IP_Total_YoY,50%,3.1883417493999255,0.8867402055746654,0.9592164554317772,0.15633796450996718,-0.29446950410763617,0.12400942543606686,3.9955974239013092,-0.9239740578115663
IP_Total_YoY,75%,6.634153280756172,4.112368231422403,3.5402104507150645,2.7225792708013676,3.075272476989732,3.5103942894072815,8.487348690383207,2.718661692533897
IP_Total_YoY,max,51.94714881780249,59.807073954983906,77.42504409171076,75.77639751552793,122.37837837837837,16.641452344931928,64.66380543633763,67.94453507340947
