horizon,n_obs,r_squared,adj_r_squared,f_statistic,f_pvalue,DL_Gas_EUR_coef,DL_Gas_EUR_se,DL_Gas_EUR_tstat,DL_Gas_EUR_pvalue,DL_Gas_EUR_ci_lower,DL_Gas_EUR_ci_upper,DL_Gas_EUR_significant,variable,country
0,128,0.11481972754963066,0.08603337722604143,2.8836506978304177,0.025312603183503517,0.008342534484143793,0.004281453722464579,1.948528473020956,0.05135176129574754,-4.911481188678117e-05,0.01673418378017437,False,HICP_Total,ES
1,128,0.06502528481805758,0.03461960302352296,1.367373114181021,0.24915544723444524,0.0032517723396185043,0.004431111594753092,0.7338502472988829,0.46304001253127824,-0.005433206386097555,0.011936751065334563,False,HICP_Total,ES
2,127,0.14220719928776937,0.11408284516605682,2.8082472596518335,0.02851080784470583,0.00044618607438287714,0.005663078314791495,0.07878861099580342,0.9372007629944592,-0.010653447422608453,0.011545819571374209,False,HICP_Total,ES
3,126,0.1443897224817019,0.11610508520836982,3.3054748462510224,0.013115720532615293,0.009516944975590507,0.007645709946806189,1.2447431359289247,0.2132261844145903,-0.005468646520149622,0.024502536471330636,False,HICP_Total,ES
4,125,0.053900620441327374,0.022363974456038216,2.989556583800783,0.021547101963295016,0.007789851056442783,0.007189488109070142,1.083505659688794,0.2785840400898567,-0.006301545637334694,0.02188124775022026,False,HICP_Total,ES
5,124,0.021460598675471898,-0.011431482041319052,0.3446819497651348,0.8472719782076858,0.008630451230348227,0.011001721735861445,0.7844636900982712,0.4327680795088529,-0.012932923371940207,0.03019382583263666,False,HICP_Total,ES
6,123,0.04535731291805156,0.01299654386442628,1.2334164043814968,0.3004760029934775,0.01510094273164943,0.015211681143174822,0.9927201727091762,0.32084634137013746,-0.014713952308973223,0.04491583777227208,False,HICP_Total,ES
7,122,0.062080232687166004,0.030014599616641657,1.6098246416799409,0.17639367337889028,0.02231738635783106,0.016541159307244063,1.349203277913982,0.1772716822132384,-0.010103285884367302,0.05473805860002942,False,HICP_Total,ES
8,121,0.10328544250758065,0.07236425086991094,2.76504586279997,0.03073808187916342,0.027202671810253577,0.019194653121017074,1.417200490092117,0.15642431855173727,-0.010418848306939885,0.06482419192744704,False,HICP_Total,ES
9,120,0.12727050245696991,0.09691469384677753,3.572123912053897,0.008749778365630246,0.03403355823562381,0.021242289130518368,1.6021605781991022,0.10912010500571855,-0.007601328460192187,0.07566844493143982,False,HICP_Total,ES
10,119,0.10465474926344365,0.07323912643058195,4.440778972978263,0.002259736751832654,0.035672227784266514,0.023291958324887528,1.5315254856072205,0.125639572677308,-0.009980010532513038,0.08132446610104607,False,HICP_Total,ES
11,118,0.08205500539523303,0.04956137726763066,1.202480346590215,0.3137334253019721,0.03285181379248605,0.024956670117952464,1.3163540503287836,0.18805523728290074,-0.016063259638700776,0.08176688722367287,False,HICP_Total,ES
12,117,0.07474142159435682,0.041696472365583714,1.8500040802121627,0.12426207026496713,0.03303147941734655,0.025604611387833428,1.290059783256158,0.1970299018846764,-0.017153558902806967,0.08321651773750006,False,HICP_Total,ES
0,128,0.19075191126789237,0.16443490025221408,13.966504495220406,2.014827292881462e-09,-3.6230132776044225e-05,0.0036223673328755995,-0.010001783211556047,0.9920198646449183,-0.00713607010521222,0.007063609839660131,False,HICP_Core,ES
1,128,0.2371443344790135,0.2123360201531278,21.639525323415008,1.5509124434807456e-13,-0.008636518808017116,0.0054076428863414835,-1.5970948876507847,0.11024455760382001,-0.019235498865246423,0.0019624612492121912,False,HICP_Core,ES
2,127,0.49156339014074624,0.4748933373584756,58.27668027896515,2.038428542612681e-27,-0.016681573517385785,0.005081198190112199,-3.282999972299336,0.0010270867577112266,-0.026640721970005693,-0.006722425064765876,True,HICP_Core,ES
3,126,0.5934903004135346,0.5800519632371226,53.93295263141124,5.096500699409171e-26,-0.013399373833358017,0.006276751168065588,-2.134762630312702,0.03278040421058358,-0.02570180612276657,-0.0010969415439494642,True,HICP_Core,ES
4,125,0.3821047395849877,0.36150823090448725,33.73522609819955,7.582683824638683e-19,-0.010557593317502839,0.005731222250100459,-1.8421189855824875,0.06545774727920947,-0.02179078892769974,0.0006756022926940608,False,HICP_Core,ES
5,124,0.04763251616902808,0.015620163771348228,1.5793394810973729,0.18423663017447775,-0.008578850825855282,0.005485204838750787,-1.563998260420307,0.11781797694746549,-0.019329852309806828,0.002172150658096261,False,HICP_Core,ES
6,123,0.12358615613405155,0.09387721227418899,33.161829763948276,1.6013860510002476e-18,-0.00405858729272011,0.006978892738809496,-0.5815517510607922,0.5608686503101252,-0.017737217060786722,0.0096200424753465,False,HICP_Core,ES
7,122,0.21952954072317576,0.1928467899786689,49.96161075365571,1.8528186222705056e-24,-0.001835928432237361,0.0077893073741814286,-0.23569854725758554,0.813666597259985,-0.01710297088563296,0.01343111402115824,False,HICP_Core,ES
8,121,0.4485573499373514,0.42954208614208766,67.53024919835397,2.1254046888548107e-29,-0.001213856107030526,0.007984755449105827,-0.152021701198934,0.8791698195007493,-0.016863976787277947,0.014436264573216895,False,HICP_Core,ES
9,120,0.5467828129321186,0.5310187368601923,78.28032350814057,6.442475787467604e-32,0.0034880829386577487,0.009172172764330763,0.3802897119668736,0.7037303715512297,-0.014489375679430545,0.021465541556746043,False,HICP_Core,ES
10,119,0.3430667315204178,0.3200164413983271,60.63277226580954,2.363893030870771e-27,0.006092047584166246,0.010271503115190176,0.5931018582038811,0.5531129869556115,-0.014040098521606498,0.02622419368993899,False,HICP_Core,ES
11,118,0.03181525423861875,-0.0024567721600141645,1.2587853700954925,0.29044842310064894,0.008983624885579444,0.010312339824358616,0.8711529137508991,0.38367066570118513,-0.011228561170163442,0.029195810941322328,False,HICP_Core,ES
12,117,0.08766611339640329,0.05508276030341763,18.98282717916342,6.104493589333969e-12,0.010993742070586064,0.010776425839145927,1.020165891241113,0.3076497911741647,-0.010128052574139955,0.03211553671531208,False,HICP_Core,ES
0,128,0.13463607965934943,0.1064941635507104,1.0155093379138986,0.4021387804572254,0.021660134836604606,0.020698403919021592,1.0464640134256533,0.29534685139510597,-0.018908736844677716,0.06222900651788693,False,IP_Total,ES
1,127,0.1390306088475899,0.11080210421964198,1.3043480182388887,0.27220365515164774,0.047234073114451464,0.03207766268478359,1.4724911094241755,0.1408883060741563,-0.015638145747724375,0.1101062919766273,False,IP_Total,ES
2,126,0.12491303637839524,0.09598454171321835,1.1081586641460335,0.35590104544362666,0.04547828340132367,0.04412805880513041,1.030597869762544,0.302729435466056,-0.041012711856731936,0.13196927865937927,False,IP_Total,ES
3,125,0.11380055140766454,0.08426056978791996,1.2725759687980158,0.2845863272561692,0.034867063933170364,0.04302786844511198,0.8103367699389559,0.4177466477319034,-0.049467558219249114,0.11920168608558984,False,IP_Total,ES
4,124,0.10323672273608953,0.0730934192986471,1.441961527869172,0.22440679181344672,0.01668549779838313,0.03114826738332504,0.5356798050127042,0.5921798631388155,-0.04436510627293394,0.0777361018697002,False,IP_Total,ES
5,123,0.11429657557826478,0.08427273068261287,1.4001377379149853,0.2381779248468271,-0.05958695660794286,0.056619383228970865,-1.0524126758317203,0.29261025552251096,-0.17056094773672575,0.051387034520840036,False,IP_Total,ES
6,122,0.11243082511448932,0.08208657981925804,1.7627315557041034,0.14101533434442332,-0.026517440666517386,0.03948676358131883,-0.6715526485706409,0.5018685317026887,-0.1039114972859023,0.05087661595286752,False,IP_Total,ES
7,121,0.10866594616890735,0.07793028914024891,2.810775508389494,0.02863329877510681,0.011303241415873943,0.03533290637550121,0.3199069246030458,0.7490388884373642,-0.05794925508010843,0.08055573791185631,False,IP_Total,ES
8,120,0.09018596126518508,0.05854025557006104,2.7763223388586713,0.030247928853094172,0.022352421039306597,0.03604187650981553,0.6201791694508251,0.5351398340711755,-0.04828965691993184,0.09299449899854503,False,IP_Total,ES
9,119,0.08584451594050324,0.05376888492087173,2.5205576351777763,0.04495252148567399,0.02255399393166831,0.03821080375890347,0.5902517537703724,0.5550218796694146,-0.05233918143578249,0.0974471692991191,False,IP_Total,ES
10,118,0.11525534668730886,0.0839369518797799,3.4209108641499837,0.011134001487649056,0.07487796547690825,0.05379249631077607,1.3919778893382238,0.16392909356432572,-0.03055532729221283,0.18031125824602934,False,IP_Total,ES
11,117,0.12512818135784554,0.09388275926348277,4.398244534213807,0.002433673553060361,0.09172132205627054,0.052749925097117595,1.7387953042094926,0.0820707748815876,-0.011668531134079951,0.19511117524662103,False,IP_Total,ES
12,116,0.11540628821471,0.0835290373395643,4.962071701223203,0.001020452152606164,0.11633754649642936,0.05489220365494956,2.1193819659294975,0.03405819963307816,0.00874882733272822,0.2239262656601305,True,IP_Total,ES
