date,actual_gap,ci_lower,ci_upper,zero_in_ci
2019-01-01,0.1415842806972165,-1.9448233470897578,2.289427729920268,True
2019-02-01,0.07871630611811042,-2.2188909578199527,1.1291019310777202,True
2019-03-01,-0.13241458208625545,-0.9953667863424513,1.6503643888161674,True
2019-04-01,0.2968283251696562,-0.8571358251829111,0.9109637859096295,True
2019-05-01,0.5717141159954906,-0.918548899963956,1.2453682071690109,True
2019-06-01,0.4192379007312468,-1.1179116763225636,1.3358899365206254,True
2019-07-01,0.05707867400620614,-2.569649115819007,0.8723137841295724,True
2019-08-01,-0.2692907412009191,-3.1296744214519707,1.424375056649427,True
2019-09-01,-0.3403584338133214,-1.4808578779723418,1.1758714767225185,True
2019-10-01,-0.0024508407511660835,-1.1921206595749212,0.8389140613173808,True
2019-11-01,0.5312358598396116,-1.5553129880219203,1.7392309467377116,True
2019-12-01,0.17698440625699163,-1.878957117817356,2.2283740685393423,True
2020-01-01,0.40919525337888274,-3.1573529740580453,2.8571655258092292,True
2020-02-01,0.3300274478571197,-3.5758233472322845,2.05913944261863,True
2020-03-01,-0.5399305959160898,-1.6584067725066816,2.171542062011447,True
2020-04-01,-0.8524700067664241,-1.1448828418771924,1.4478422600003382,True
2020-05-01,-0.536876850322983,-1.5280024255548355,0.8033356383935327,True
2020-06-01,-0.2740891639871563,-1.6077033890489858,0.7587852735142476,True
2020-07-01,-1.7861014627694658,-2.7035154030793267,1.2014895119653004,True
2020-08-01,-0.7041822295850437,-3.740605694500688,1.4853286550789733,True
2020-09-01,-0.6382612005310762,-2.3927063190584876,1.3834251014136227,True
2020-10-01,-0.9850655334240486,-1.8673646155013046,0.9025748264090225,True
2020-11-01,-0.3863447318229447,-2.1311805176943253,2.2253367456365893,True
2020-12-01,-0.5419371971473623,-2.1547770063570866,2.352647819145619,True
2021-01-01,-0.200828919064449,-3.217172311357774,2.365827246287354,True
2021-02-01,-1.1195688866838367,-3.356930944104775,1.556515626079134,True
2021-03-01,-0.42643485284772,-2.4464536648575406,2.376903037812758,True
2021-04-01,-0.12880039882821848,-1.7822660959596888,1.7299109396287604,True
2021-05-01,0.429139137585139,-2.2062192037316977,1.777756472418558,True
2021-06-01,0.7456199131876105,-2.2140247286591674,1.869229460176055,True
2021-07-01,-0.09987258684360256,-3.226548900200771,1.1832331619710075,True
2021-08-01,0.045099009693487346,-3.662300626750434,1.0537070370465755,True
2021-09-01,0.43501182174557584,-2.282776455257758,1.7503356152001217,True
2021-10-01,0.9947996248524191,-1.8892504919749982,0.888605319039398,True
2021-11-01,0.504476067559068,-1.6783082866826746,0.8203394106057061,True
2021-12-01,1.0786962689054889,-1.469690426616151,1.4281994201282529,True
2022-01-01,-0.0024758843988337276,-1.6249738230533466,1.4352095915582452,True
2022-02-01,-0.039682500514601315,-1.7065538606702844,1.2188030701976245,True
2022-03-01,0.8607501637433899,-2.558716859824217,3.324285646388716,True
2022-04-01,0.12634970885748942,-2.3072029642324865,3.0686874505922828,True
2022-05-01,0.5954579544681025,-1.9368666225278262,1.3583866459045197,True
2022-06-01,1.9390262148713902,-2.0106900522643443,0.8707933455478283,True
2022-07-01,1.1587095572822221,-2.0776608596751176,2.2889037974286537,True
2022-08-01,-0.16304945957628547,-3.7963014853094137,4.5862522540585555,True
2022-09-01,-2.880045441100492,-4.5195760348838165,5.456370724657104,True
2022-10-01,-6.207632932453706,-5.909794732534843,5.9978549100498935,True
2022-11-01,-5.370074770845321,-5.376819483504214,3.7863641485686372,True
2022-12-01,-5.785912758659634,-5.3794605809859535,4.24593673508078,True
2023-01-01,-4.364164445793477,-4.424117705609971,2.819065017905038,True
2023-02-01,-3.9340772578454732,-3.6907386461608738,2.182392250864916,True
2023-03-01,-3.391667682285103,-3.519633143823745,2.6503287225838106,True
2023-04-01,-4.172773887009058,-3.5375800065080982,1.6873995897318153,True
2023-05-01,-4.667492201635042,-3.790402374266422,1.6418666902616394,True
2023-06-01,-3.844635622159416,-3.8975272527105176,2.555616056097847,True
2023-07-01,-3.2728470954676823,-3.0468084013831858,1.424727979661678,True
2023-08-01,-2.985658954254177,-2.2505301338537693,1.1592595906071224,True
2023-09-01,-3.176850784601811,-4.007008157419612,2.8648265689887267,True
2023-10-01,-3.1761689736696894,-3.886536063138064,2.5737048896373365,True
2023-11-01,-2.6930086940375304,-3.8617687397767044,4.513918555651321,True
2023-12-01,-2.903449309281797,-4.029437831893363,4.853837881449297,True
