date,actual,synthetic,gap
2019-01-01,103.54,104.90891167016963,-1.3689116701696236
2019-02-01,104.21,105.20145660033022,-0.9914566003302241
2019-03-01,104.47,106.12519003751932,-1.6551900375193185
2019-04-01,105.79,106.00885757666057,-0.21885757666056804
2019-05-01,105.89,106.90427088421636,-1.0142708842163586
2019-06-01,102.91,105.8916468898697,-2.981646889869708
2019-07-01,103.78,104.96151352790368,-1.1815135279036753
2019-08-01,102.46,104.5870690196276,-2.127069019627612
2019-09-01,102.03,104.68341464596071,-2.6534146459607086
2019-10-01,102.94,105.31977602203376,-2.3797760220337665
2019-11-01,102.4,105.25518757446264,-2.855187574462633
2019-12-01,101.71,105.37006729968259,-3.660067299682595
2020-01-01,103.56,105.66580134596433,-2.1058013459643234
2020-02-01,100.81,104.1419157341941,-3.331915734194098
2020-03-01,94.39,101.11360981319586,-6.723609813195864
2020-04-01,87.72,97.04347867195203,-9.323478671952032
2020-05-01,87.14,94.64678374913947,-7.506783749139473
2020-06-01,90.61,95.0525194393225,-4.442519439322496
2020-07-01,92.62,95.65647263375871,-3.036472633758706
2020-08-01,92.94,95.76409928940053,-2.824099289400536
2020-09-01,93.27,95.54656674682275,-2.276566746822752
2020-10-01,91.54,96.06209747371551,-4.522097473715505
2020-11-01,92.63,95.9254588644795,-3.2954588644794995
2020-12-01,95.32,97.31884699967593,-1.9988469996759335
2021-01-01,101.51,100.19339668877386,1.316603311226146
2021-02-01,96.61,101.98276239043109,-5.372762390431092
2021-03-01,102.38,104.02120949434865,-1.641209494348658
2021-04-01,106.43,104.95495069935039,1.4750493006496157
2021-05-01,108.05,105.84726868970331,2.2027313102966843
2021-06-01,111.84,106.6415158211259,5.1984841788740965
2021-07-01,111.77,109.75052347165904,2.0194765283409595
2021-08-01,114.68,111.08004683410034,3.599953165899663
2021-09-01,119.94,112.05101408178332,7.888985918216676
2021-10-01,127.48,118.45530418229866,9.024695817701343
2021-11-01,125.76,123.76869342191509,1.9913065780849166
2021-12-01,133.19,125.00399478319885,8.18600521680115
2022-01-01,134.77,132.0430875993847,2.726912400615305
2022-02-01,138.81,139.219535761913,-0.40953576191299135
2022-03-01,164.08,156.10280235819246,7.97719764180755
2022-04-01,141.92,150.88913867256545,-8.969138672565464
2022-05-01,144.57,150.54508891092865,-5.975088910928662
2022-06-01,157.11,156.66669977814337,0.44330022185664575
2022-07-01,157.51,162.73689161998206,-5.226891619982069
2022-08-01,157.08,164.11342350381395,-7.033423503813935
2022-09-01,146.6,178.8317625423811,-32.23176254238112
2022-10-01,137.55,195.63813030193413,-58.088130301934115
2022-11-01,131.18,188.94736033927512,-57.767360339275115
2022-12-01,123.98,177.6236350706443,-53.643635070644294
2023-01-01,123.79,177.6926402682072,-53.90264026820721
2023-02-01,126.64,173.1989502511484,-46.5589502511484
2023-03-01,122.3,164.0082571617874,-41.708257161787415
2023-04-01,120.03,163.9788618265776,-43.9488618265776
2023-05-01,116.35,161.19745345897624,-44.84745345897625
2023-06-01,118.15,158.2565473270649,-40.1065473270649
2023-07-01,119.41,157.16990354868034,-37.75990354868034
2023-08-01,123.71,161.7571308145131,-38.047130814513096
2023-09-01,126.42,164.48066554496003,-38.06066554496003
2023-10-01,123.62,164.19603647623055,-40.57603647623054
2023-11-01,118.34,160.24848318557954,-41.90848318557954
2023-12-01,116.35,156.66418011390311,-40.31418011390312
